Event,Start Date,Start Time,End Date,End Time,Location,Category,Description,Facility
"Men's Tennis at Westmont College (Calif.)","4/8/2025","10:00AM","4/8/2025","1:00 PM","Santa Barbara, CA","Men's Tennis","Men's Tennis at Westmont College (Calif.) Santa Barbara, CA",""
"Men's Tennis at California Lutheran University","4/8/2025","4:00PM","4/8/2025","7:00 PM","Thousand Oaks, CA","Men's Tennis","Men's Tennis at California Lutheran University Thousand Oaks, CA",""
"Women's Water Polo vs Whittier College","4/9/2025","7:00PM","4/9/2025","10:00 PM","","Women's Water Polo","Women's Water Polo vs Whittier College ",""
"Women's Lacrosse at California Lutheran University","4/9/2025","7:00PM","4/9/2025","10:00 PM","Thousand Oaks, CA","Women's Lacrosse","Women's Lacrosse at California Lutheran University Thousand Oaks, CA",""
"Softball vs University of Redlands","4/11/2025","3:00PM","4/11/2025","6:00 PM","","Softball","Softball vs University of Redlands ",""
"Baseball vs Pomona-Pitzer (at APU)","4/11/2025","3:00PM","4/11/2025","6:00 PM","","Baseball","Baseball vs Pomona-Pitzer (at APU) ",""
"Women's Tennis at California Lutheran University","4/11/2025","3:00PM","4/11/2025","6:00 PM","Thousand Oaks, CA","Women's Tennis","Women's Tennis at California Lutheran University Thousand Oaks, CA",""
"Baseball at Pomona-Pitzer","4/12/2025","11:00AM","4/12/2025","2:00 PM","Claremont, CA","Baseball","Baseball at Pomona-Pitzer Claremont, CA",""
"Softball at University of Redlands","4/12/2025","12:00PM","4/12/2025","3:00 PM","Redlands, CA","Softball","Softball at University of Redlands Redlands, CA",""
"Women's Track and Field at Pomona-Pitzer Invitational","4/12/2025","12:00PM","4/12/2025","3:00 PM","Claremont, CA","Women's Track and Field","Women's Track and Field at Pomona-Pitzer Invitational Claremont, CA",""
"Men's Track and Field at Pomona-Pitzer Invitational","4/12/2025","12:00PM","4/12/2025","3:00 PM","Claremont, CA","Men's Track and Field","Men's Track and Field at Pomona-Pitzer Invitational Claremont, CA",""
"Baseball at Pomona-Pitzer","4/12/2025","2:00PM","4/12/2025","5:00 PM","Claremont, CA","Baseball","Baseball at Pomona-Pitzer Claremont, CA",""
"Softball at University of Redlands","4/12/2025","2:00PM","4/12/2025","5:00 PM","Redlands, CA","Softball","Softball at University of Redlands Redlands, CA",""
"Women's Lacrosse at Chapman University","4/12/2025","7:00PM","4/12/2025","10:00 PM","Orange, CA","Women's Lacrosse","Women's Lacrosse at Chapman University Orange, CA",""
"Men's Track and Field at Bryan Clay Invitational (at APU)","4/16/2025","9:00AM","4/18/2025","11:59 PM","Azusa, CA","Men's Track and Field","Men's Track and Field at Bryan Clay Invitational (at APU) Azusa, CA",""
"Women's Track and Field at Bryan Clay Invitational (at APU)","4/16/2025","9:00AM","4/18/2025","11:59 PM","Azusa, CA","Women's Track and Field","Women's Track and Field at Bryan Clay Invitational (at APU) Azusa, CA",""
"Women's Water Polo at University of Redlands","4/16/2025","7:00PM","4/16/2025","10:00 PM","Redlands, CA","Women's Water Polo","Women's Water Polo at University of Redlands Redlands, CA",""
"Baseball at George Fox University","4/18/2025","3:00PM","4/18/2025","6:00 PM","Newberg, OR","Baseball","Baseball at George Fox University Newberg, OR",""
"Softball at Whittier College","4/18/2025","3:00PM","4/18/2025","6:00 PM","Whittier, CA","Softball","Softball at Whittier College Whittier, CA",""
"Women's Water Polo vs Occidental College","4/19/2025","11:00AM","4/19/2025","2:00 PM","","Women's Water Polo","Women's Water Polo vs Occidental College ",""
"Women's Tennis at Chapman University","4/19/2025","11:00AM","4/19/2025","2:00 PM","Orange, CA","Women's Tennis","Women's Tennis at Chapman University Orange, CA",""
"Baseball at George Fox University","4/19/2025","12:00PM","4/19/2025","3:00 PM","Newberg, OR","Baseball","Baseball at George Fox University Newberg, OR",""
"Softball vs Whittier College","4/19/2025","12:00PM","4/19/2025","3:00 PM","","Softball","Softball vs Whittier College ",""
"Women's Lacrosse vs Pomona-Pitzer","4/19/2025","1:00PM","4/19/2025","4:00 PM","","Women's Lacrosse","Women's Lacrosse vs Pomona-Pitzer ",""
"Softball vs Whittier College","4/19/2025","2:00PM","4/19/2025","5:00 PM","","Softball","Softball vs Whittier College ",""
"Men's Tennis at Chapman University","4/19/2025","3:00PM","4/19/2025","6:00 PM","Orange, CA","Men's Tennis","Men's Tennis at Chapman University Orange, CA",""
"Baseball at George Fox University","4/19/2025","3:00PM","4/19/2025","6:00 PM","Newberg, OR","Baseball","Baseball at George Fox University Newberg, OR",""
"Baseball at Pacific University","4/20/2025","12:00PM","4/20/2025","3:00 PM","Forest Grove, OR","Baseball","Baseball at Pacific University Forest Grove, OR",""
"Women's Lacrosse vs Whittier College","4/23/2025","7:00PM","4/23/2025","10:00 PM","","Women's Lacrosse","Women's Lacrosse vs Whittier College ",""
"Women's Lacrosse at University of Redlands","4/24/2025","7:00PM","4/24/2025","10:00 PM","Redlands, CA","Women's Lacrosse","Women's Lacrosse at University of Redlands Redlands, CA",""
"Women's Water Polo vs Chapman University","4/24/2025","7:00PM","4/24/2025","10:00 PM","","Women's Water Polo","Women's Water Polo vs Chapman University ",""
"Baseball at Caltech","4/25/2025","3:00PM","4/25/2025","6:00 PM","Pasadena, CA","Baseball","Baseball at Caltech Pasadena, CA",""
"Softball vs Pomona-Pitzer","4/25/2025","3:00PM","4/25/2025","6:00 PM","","Softball","Softball vs Pomona-Pitzer ",""
"Women's Track and Field at SCIAC Championships (at Occidental)","4/26/2025","10:00AM","4/26/2025","1:00 PM","Los Angeles, CA","Women's Track and Field","Women's Track and Field at SCIAC Championships (at Occidental) Los Angeles, CA",""
"Men's Track and Field at SCIAC Championships (at Occidental)","4/26/2025","10:00AM","4/26/2025","1:00 PM","Los Angeles, CA","Men's Track and Field","Men's Track and Field at SCIAC Championships (at Occidental) Los Angeles, CA",""
"Women's Water Polo at Pomona-Pitzer","4/26/2025","11:00AM","4/26/2025","2:00 PM","Claremont, CA","Women's Water Polo","Women's Water Polo at Pomona-Pitzer Claremont, CA",""
"Baseball vs Caltech (at Caltech)","4/27/2025","10:00AM","4/27/2025","1:00 PM","","Baseball","Baseball vs Caltech (at Caltech) ",""
