Event,Start Date,Start Time,End Date,End Time,Location,Category,Description,Facility
"Men's Tennis at University of Redlands","4/8/2025","4:00PM","4/8/2025","7:00 PM","Redlands, CA","Men's Tennis","Men's Tennis at University of Redlands Redlands, CA",""
"Women's Water Polo vs Biola University (Calif.)","4/9/2025","5:00PM","4/9/2025","8:00 PM","Claremont, CA","Women's Water Polo","Women's Water Polo vs Biola University (Calif.) Claremont, CA","Haldeman Pool"
"Women's Lacrosse vs Whittier College","4/9/2025","7:00PM","4/9/2025","10:00 PM","","Women's Lacrosse","Women's Lacrosse vs Whittier College ",""
"Women's Water Polo vs Caltech","4/9/2025","7:00PM","4/9/2025","10:00 PM","Claremont, CA","Women's Water Polo","Women's Water Polo vs Caltech Claremont, CA","Haldeman Pool"
"Softball at University of La Verne","4/11/2025","3:00PM","4/11/2025","6:00 PM","La Verne, CA","Softball","Softball at University of La Verne La Verne, CA",""
"Baseball at Claremont-Mudd-Scripps Colleges","4/11/2025","3:00PM","4/11/2025","6:00 PM","Azusa, CA","Baseball","Baseball at Claremont-Mudd-Scripps Colleges Azusa, CA",""
"Women's Tennis at University of Redlands","4/11/2025","4:00PM","4/11/2025","7:00 PM","Redlands, CA","Women's Tennis","Women's Tennis at University of Redlands Redlands, CA",""
"Men's Track and Field vs Pomona-Pitzer Invite","4/12/2025","9:00AM","4/12/2025","12:00 PM","Claremont, CA","Men's Track and Field","Men's Track and Field vs Pomona-Pitzer Invite Claremont, CA","Strehle Track"
"Women's Track and Field vs Pomona-Pitzer Invite","4/12/2025","9:00AM","4/12/2025","12:00 PM","Claremont, CA","Women's Track and Field","Women's Track and Field vs Pomona-Pitzer Invite Claremont, CA","Strehle Track"
"Baseball vs Claremont-Mudd-Scripps Colleges","4/12/2025","11:00AM","4/12/2025","2:00 PM","Claremont, Ca.","Baseball","Baseball vs Claremont-Mudd-Scripps Colleges Claremont, Ca.","Alumni Field"
"Softball vs University of La Verne","4/12/2025","12:00PM","4/12/2025","3:00 PM","Claremont, Ca.","Softball","Softball vs University of La Verne Claremont, Ca.","Wig Beach Field"
"Softball vs University of La Verne","4/12/2025","2:00PM","4/12/2025","5:00 PM","Claremont, Ca.","Softball","Softball vs University of La Verne Claremont, Ca.","Wig Beach Field"
"Baseball vs Claremont-Mudd-Scripps Colleges","4/12/2025","3:00PM","4/12/2025","6:00 PM","Claremont, Ca.","Baseball","Baseball vs Claremont-Mudd-Scripps Colleges Claremont, Ca.","Alumni Field"
"Women's Golf vs La Verne","4/13/2025","","4/13/2025","3:00 AM","Costa Mesa, CA","Women's Golf","Women's Golf vs La Verne Costa Mesa, CA",""
"Men's Golf vs La Verne","4/13/2025","","4/13/2025","3:00 AM","Costa Mesa, CA","Men's Golf","Men's Golf vs La Verne Costa Mesa, CA",""
"Women's Tennis at California Lutheran University","4/15/2025","4:00PM","4/15/2025","7:00 PM","Thousand Oaks, CA","Women's Tennis","Women's Tennis at California Lutheran University Thousand Oaks, CA",""
"Women's Water Polo at University of La Verne","4/16/2025","4:00PM","4/16/2025","7:00 PM","La Verne, CA","Women's Water Polo","Women's Water Polo at University of La Verne La Verne, CA",""
"Women's Lacrosse vs California Lutheran University","4/16/2025","7:00PM","4/16/2025","10:00 PM","","Women's Lacrosse","Women's Lacrosse vs California Lutheran University ",""
"Men's Track and Field at Bryan Clay Invite","4/17/2025","","4/17/2025","11:59 PM","Azusa, CA","Men's Track and Field","Men's Track and Field at Bryan Clay Invite Azusa, CA",""
"Women's Track and Field at Bryan Clay Invite","4/17/2025","","4/17/2025","11:59 PM","Azusa, CA","Women's Track and Field","Women's Track and Field at Bryan Clay Invite Azusa, CA",""
"Men's Track and Field at Leopard Invite","4/17/2025","","4/17/2025","11:59 PM","La Verne, CA","Men's Track and Field","Men's Track and Field at Leopard Invite La Verne, CA",""
"Women's Track and Field at Leopard Invite","4/17/2025","","4/17/2025","11:59 PM","La Verne, CA","Women's Track and Field","Women's Track and Field at Leopard Invite La Verne, CA",""
"Men's Tennis at Southwestern University","4/18/2025","10:00AM","4/18/2025","1:00 PM","Georgetown, TX","Men's Tennis","Men's Tennis at Southwestern University Georgetown, TX",""
"Men's Tennis at Concordia University Texas","4/18/2025","3:00PM","4/18/2025","6:00 PM","Austin, TX","Men's Tennis","Men's Tennis at Concordia University Texas Austin, TX",""
"Softball vs California Lutheran University","4/18/2025","3:00PM","4/18/2025","6:00 PM","Claremont, Ca.","Softball","Softball vs California Lutheran University Claremont, Ca.","Wig Beach Field"
"Baseball vs Caltech","4/18/2025","3:00PM","4/18/2025","6:00 PM","Claremont, Ca.","Baseball","Baseball vs Caltech Claremont, Ca.","Alumni Field"
"Men's Tennis at Trinity University (Texas)","4/19/2025","10:00AM","4/19/2025","1:00 PM","San Antonio, TX","Men's Tennis","Men's Tennis at Trinity University (Texas) San Antonio, TX",""
"Women's Water Polo at California Lutheran University","4/19/2025","11:00AM","4/19/2025","2:00 PM","Thousand Oaks, CA","Women's Water Polo","Women's Water Polo at California Lutheran University Thousand Oaks, CA",""
"Baseball at Caltech","4/19/2025","11:00AM","4/19/2025","2:00 PM","Pasadena, CA","Baseball","Baseball at Caltech Pasadena, CA",""
"Softball at California Lutheran University","4/19/2025","12:00PM","4/19/2025","3:00 PM","Thousand Oaks, CA","Softball","Softball at California Lutheran University Thousand Oaks, CA",""
"Women's Lacrosse at Claremont-Mudd-Scripps Colleges","4/19/2025","1:00PM","4/19/2025","4:00 PM","Claremont, CA","Women's Lacrosse","Women's Lacrosse at Claremont-Mudd-Scripps Colleges Claremont, CA",""
"Softball at California Lutheran University","4/19/2025","2:00PM","4/19/2025","5:00 PM","Thousand Oaks, CA","Softball","Softball at California Lutheran University Thousand Oaks, CA",""
"Baseball at Caltech","4/19/2025","3:00PM","4/19/2025","6:00 PM","Pasadena, CA","Baseball","Baseball at Caltech Pasadena, CA",""
"Men's Tennis at Emory University","4/20/2025","10:00AM","4/20/2025","1:00 PM","San Antonio, TX","Men's Tennis","Men's Tennis at Emory University San Antonio, TX",""
"Baseball vs Whittier College","4/22/2025","3:00PM","4/22/2025","6:00 PM","Claremont, Ca.","Baseball","Baseball vs Whittier College Claremont, Ca.","Alumni Field"
"Women's Lacrosse at Occidental College","4/23/2025","7:00PM","4/23/2025","10:00 PM","Los Angeles, CA","Women's Lacrosse","Women's Lacrosse at Occidental College Los Angeles, CA",""
"Women's Water Polo vs California Lutheran University","4/24/2025","7:00PM","4/24/2025","10:00 PM","","Women's Water Polo","Women's Water Polo vs California Lutheran University ","Haldeman Pool"
"Baseball at California Lutheran University","4/25/2025","3:00PM","4/25/2025","6:00 PM","Thousand Oaks, CA","Baseball","Baseball at California Lutheran University Thousand Oaks, CA",""
"Softball at Claremont-Mudd-Scripps Colleges","4/25/2025","3:00PM","4/25/2025","6:00 PM","Claremont, CA","Softball","Softball at Claremont-Mudd-Scripps Colleges Claremont, CA",""
"Women's Track and Field at SCIAC Championships","4/26/2025","10:00AM","4/26/2025","11:59 PM"," Eagle Rock, CA","Women's Track and Field","Women's Track and Field at SCIAC Championships  Eagle Rock, CA",""
"Men's Track and Field at SCIAC Championships","4/26/2025","10:00AM","4/26/2025","11:59 PM"," Eagle Rock, CA","Men's Track and Field","Men's Track and Field at SCIAC Championships  Eagle Rock, CA",""
"Women's Water Polo vs Claremont-Mudd-Scripps Colleges","4/26/2025","11:00AM","4/26/2025","2:00 PM","","Women's Water Polo","Women's Water Polo vs Claremont-Mudd-Scripps Colleges ","Haldeman Pool"
"Women's Lacrosse vs Chapman University","4/26/2025","7:00PM","4/26/2025","10:00 PM","","Women's Lacrosse","Women's Lacrosse vs Chapman University ",""
"Men's Golf vs SCIAC Championship","4/27/2025","","4/28/2025","11:59 PM","Costa Mesa, CA","Men's Golf","Men's Golf vs SCIAC Championship Costa Mesa, CA",""
"Women's Golf vs SCIAC Championship","4/27/2025","","4/28/2025","11:59 PM","Costa Mesa, CA","Women's Golf","Women's Golf vs SCIAC Championship Costa Mesa, CA",""
"Men's Tennis vs Claremont-Mudd-Scripps Colleges","4/27/2025","11:00AM","4/27/2025","2:00 PM","","Men's Tennis","Men's Tennis vs Claremont-Mudd-Scripps Colleges ",""
"Baseball vs California Lutheran University","4/27/2025","11:00AM","4/27/2025","2:00 PM","Claremont, Ca.","Baseball","Baseball vs California Lutheran University Claremont, Ca.","Alumni Field"
"Softball vs Claremont-Mudd-Scripps Colleges","4/27/2025","12:00PM","4/27/2025","3:00 PM","Claremont, Ca.","Softball","Softball vs Claremont-Mudd-Scripps Colleges Claremont, Ca.","Wig Beach Field"
"Softball vs Claremont-Mudd-Scripps Colleges","4/27/2025","2:00PM","4/27/2025","5:00 PM","Claremont, Ca.","Softball","Softball vs Claremont-Mudd-Scripps Colleges Claremont, Ca.","Wig Beach Field"
"Women's Tennis vs Claremont-Mudd-Scripps Colleges","4/27/2025","3:00PM","4/27/2025","6:00 PM","","Women's Tennis","Women's Tennis vs Claremont-Mudd-Scripps Colleges ",""
"Baseball vs California Lutheran University","4/27/2025","3:00PM","4/27/2025","6:00 PM","Claremont, Ca.","Baseball","Baseball vs California Lutheran University Claremont, Ca.","Alumni Field"
"Baseball at University of La Verne","4/29/2025","3:30PM","4/29/2025","6:30 PM","La Verne, CA","Baseball","Baseball at University of La Verne La Verne, CA",""
"Women's Tennis vs California Lutheran University","4/30/2025","5:00PM","4/30/2025","8:00 PM","","Women's Tennis","Women's Tennis vs California Lutheran University ","Pauley Tennis Complex"
"Women's Lacrosse vs Occidental College","4/30/2025","7:00PM","4/30/2025","10:00 PM","","Women's Lacrosse","Women's Lacrosse vs Occidental College ","Merritt Field"
"Men's Tennis at Claremont-Mudd-Scripps Colleges","5/1/2025","7:00PM","5/1/2025","10:00 PM","Claremont, CA","Men's Tennis","Men's Tennis at Claremont-Mudd-Scripps Colleges Claremont, CA",""
"Softball vs Occidental College","5/2/2025","3:00PM","5/2/2025","6:00 PM","Claremont, Ca.","Softball","Softball vs Occidental College Claremont, Ca.","Wig Beach Field"
"Baseball vs Occidental College","5/2/2025","3:00PM","5/2/2025","6:00 PM","Claremont, Ca.","Baseball","Baseball vs Occidental College Claremont, Ca.","Alumni Field"
"Women's Tennis vs Claremont-Mudd-Scripps Colleges","5/2/2025","4:00PM","5/2/2025","7:00 PM","Claremont, CA","Women's Tennis","Women's Tennis vs Claremont-Mudd-Scripps Colleges Claremont, CA","Pauley Tennis Complex"
